angle_of_attack_deg,CL,CD,CL_fit,CD_fit
0.0,0.19769198598023927,0.04469711339840511,0.16934083409422257,0.04601264643797974
1.8181818181818181,0.3299499014510345,0.04263186721797431,0.33911437319609256,0.04206127820614977
3.6363636363636362,0.4626550424366258,0.04342203166219317,0.48716478418934556,0.041717610998378736
5.454545454545454,0.5860553272737181,0.04728264021051053,0.6134920670739816,0.044981644814666655
7.2727272727272725,0.7043599432580745,0.05294093940742821,0.7180962218500002,0.05185337965501349
9.09090909090909,0.8151744667150911,0.06013393391790878,0.800977248517402,0.062332815519419285
10.909090909090908,0.9151148007117399,0.06847231837846171,0.8621351470761869,0.07641995240788402
12.727272727272727,0.9213429303575342,0.09296656334680722,0.9015699175263545,0.09411479032040768
14.545454545454545,0.9064503488115664,0.11952869160541088,0.919281559867905,0.11541732925699026
16.363636363636363,0.884499963694468,0.14539445019370958,0.9152700741008384,0.14032756921763184
18.18181818181818,0.8764132765427798,0.1713063347645852,0.8895354602251551,0.1688455102023323
20.0,0.8583474187254624,0.19627879514455002,0.8420777182408541,0.20097115221109174
